0,722.71
1,725.1
2,726.31
3,730.04
4,734.57
5,738.18
6,737.66
7,732.93
8,724.36
9,714.96
10,703.27
11,687.6
12,666.76
13,639.56
14,613.41
15,590.97
16,568.82
17,549.77
18,533.7
19,518.62
20,505.18
21,492.1
22,482.73
23,474.44
24,466.79
25,460.67
26,455.24
27,451.23
28,449.15
29,447.42
30,446.02
31,445.44
32,443.89
33,442.47
34,440.96
35,439.42
36,437.99
37,436.43
38,435.84
39,434.78
40,433.5
41,432.18
42,431.12
43,429.16
44,427.54
45,426.09
46,425.65
47,425.57
48,425.36
49,425.23
50,424.91
51,425.38
52,425.35
53,425.15
54,425.7
55,425.73
56,426.31
57,427.05
58,427.97
59,428.33
60,428.98
61,429.38
62,429.24
63,428.93
64,429.01
65,429.58
66,429.45
67,429.19
68,429.61
69,430.72
70,431.68
71,432.7
72,433.08
73,433.31
74,434.07
75,435.45
76,436.56
77,437.72
78,438.6
79,439.36
80,439.56
81,440.13
82,440.78
83,441.51
84,442.11
85,442.04
86,441.36
87,440.96
88,441.03
89,441.09
90,441.18
91,440.48
92,441.29
93,441.13
94,441.37
95,441.73
96,442.5
97,443.1
98,443.82
99,443.87
100,444.08
101,444.52
102,445.47
103,446.64
104,447.74
105,448.73
106,449.43
107,449.86
108,449.67
109,449.27
110,448.43
111,446.93
112,445.34
113,443.37
114,441.28
115,438.84
116,436.12
117,433.13
118,430.28
119,427.56
120,425.12
121,423.16
122,421.14
123,419.63
124,418.42
125,417.2
126,416.16
127,414.48
128,413.41
129,412.7
130,412.23
131,411.77
132,411.44
133,410.73
134,410.1
135,409.61
136,409.08
137,408.23
138,407.03
139,405.99
140,404.89
141,403.64
142,402.92
143,402.06
144,401.08
145,400.11
146,398.88
147,398.06
148,396.95
149,396.15
150,395.52
151,394.51
152,393.4
153,392.15
154,390.15
155,388.63
156,386.92
157,385.11
158,382.75
159,380.76
160,378.82
161,376.02
162,373.98
163,371.85
164,369.52
165,367.2
166,364.62
167,362.11
168,360.07
169,358.54
170,358.04
171,357.85
172,358.11
173,358.51
174,359.06
175,359.63
176,360.43
177,361.32
178,362.41
179,363.31
180,363.87
181,364.39
182,364.68
183,364.49
184,364.22
185,363.93
186,363.45
187,362.68
188,361.68
189,360.58
190,358.74
191,356.97
192,354.57
193,353.63
194,352.38
195,350.9
196,349.99
197,349.39
198,348.06
199,346.8
200,345.3
201,344.38
202,342.29
203,342.19
204,340.4
205,339.78
